Reaction_ID	Reaction_Names	Confidence_Score	References	Notes
R595	C160 transport into the mitochondria	4	"PMID:1528846,PMID:1988962"	TV
R597	production of palmitoleoylcarnitine	4		TDV
R598	carnitine O-palmitoyltransferase	4		NJ
R603	production of stearoylcarnitine	4	PMID:1988962	TV (see C160CRN)
R606	transport of Octadecenoyl-CoA into mitochondrial matrix	4	PMID:1988962	TDV
R609	carnitine C20:4 transferase	4	PMID:1988962	TDV
R613	carnitine C22:6 transferase	4	PMID:1988962	TDV
R617	"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (x)"	1		SAB
R620	C-3 sterol keto reductase (zymosterol)	4	PMID:12829805	NCD ER - NJ
R628	"catalase A, peroxisomal (ethanol)"	2	"PMID:19382904,PMID:19382905,PMID:8769411"	NCD
R629	"calcium / sodium antiporter (1:3), reversible"	4	"PMID:12406570,PMID:2484986"	MM
R675	cholesterol efflux (ATP depedent)	4	"PMID:10655069,PMID:12600718"	IT
R679	"cholesterol efflux (ATP depedent), golgi"	4	"PMID:10655069,PMID:12600718"	IT
R697	carnitine O-palmitoyltransferase	4		NJ
R758	citrate synthase	0	"PMID:16006620,PMID:9933076"	IF old EC number (4.1.3.7) is obsolete -- transferred to 2.3.3.1 NCD. Biochemical
R784	"ubiquinol-6 cytochrome c reductase, Complex III"	4	"PMID:10453733,PMID:11047755"	INVALID ECO TERM: IFH
R866	carnitine O-palmitoyltransferase	4		NJ
R898	diacylglycerol acyltransferase	4	PMID:11481335	FULLR corresponds to acyl/R groups in texts. NJ
R908	dehydroascorbate transport (uniport)	4	"PMID:10421229,PMID:12750891,PMID:15705056,PMID:2656669,PMID:3170580,PMID:8504756,PMID:9230074"	NCD
R913	24-dehydrocholesterol reductase [Precursor]	4	"PMID:17984220,PMID:19520779,PMID:19520780"	"lanosterol -&gt; cholesterol pathway FAD known to be cofactor, other details missing NJ"
R917	dihydroceramide desaturase	4	PMID:9188692	NJ
R918	dihydroceramide desaturase	4	PMID:9188692	NJ
R929	"dihydropyrimidinase (5,6-dihydrouracil)"	4	PMID:8973361	
R943	carnitine O-palmitoyltransferase	4		NJ
R997	"DNA (cytosine-5-)-methyltransferase, nucleus"	4	PMID:1594447	
R998	"DNA (cytosine-5-)-methyltransferase, nucleus"	1		SAB copied from DNAMTn
R1146	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA) (perioxisome)	2	PMID:7558027	SAB for x
R1152	carnitine O-palmitoyltransferase	4		NJ
R1156	carnitine O-palmitoyltransferase	4		NJ
R1159	fatty acid transport via diffusion	2	"PMID:11788354,PMID:12864740"	NJ
R1611	fatty-acyl-ACP hydrolase	4	PMID:9159116	NCD
R1632	fatty-acid--CoA ligase	4	PMID:11591435	current models suggest COAL activity occurs on outer peroxisomal membrane NJ
R1638	fatty-acid--CoA ligase	4		NJ
R1672	Beta oxidation of long chain fatty acid	4		"_4 rounds of beta ox - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c16:0 -&gt; c8:0, 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1677	Beta oxidation of long chain fatty acid	4		"- in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) NJ"
R1685	Beta oxidation of long chain fatty acid	4		"_5 rounds of beta ox, 3 degrees loss of saturation -&gt; only 2 fad oxidized to fadh2 - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c18:3,n-6 -&gt; c8:0, 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1687	Beta oxidation of long chain fatty acid	4		"_5 rounds of beta ox, 4 degrees loss of saturation -&gt; only 1 fad oxidized to fadh2 - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c18:4,n-6 -&gt; c8:0, 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1689	Beta oxidation of long chain fatty acid	4		"peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c20:0 -&gt; c18:0 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1694	Beta oxidation of long chain fatty acid	4		"_1 round beta ox, 1 degree loss of sat -&gt; no fad oxidation - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c20:5,n-3 -&gt; c18:4, n-3 - final &apos;3&apos; in abbreviation indicates omega3 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1696	Beta oxidation of long chain fatty acid	4		"_1 round beta ox - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:4,n-6 -&gt; c20:4, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1698	Beta oxidation of long chain fatty acid	4		"_2 rounds of beta-ox, plus a loss of 2 degrees of desatuartion, so no fad is oxidized - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:5,n-6 -&gt; c18:3, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1700	Beta oxidation of long chain fatty acid	4		"_1 round beta ox - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:5,n-3 -&gt; c20:5, n-3 - final &apos;3&apos; in abbreviation indicates omega3 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1703	Beta oxidation of long chain fatty acid	4		"_1 round of beta-oxidation, loses degree of desat, so no fad - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c22:6,n-3 -&gt; c20:5, n-3 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1704	Beta oxidation of long chain fatty acid	4		"peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:0 -&gt; c20:0 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1705	Beta oxidation of long chain fatty acid	4		"peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:1 -&gt; c18:1 - 3 rounds beta-ox 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1706	Beta oxidation of long chain fatty acid	4		"_1 round beta ox - - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) peroxisomal (very long chain FA) c24:4,n-6 -&gt; c22:4, n-6 - final &apos;6&apos; in abbreviation indicates omega6 FA 4 step FAO lumped for 2 rounds  also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1707	Beta oxidation of long chain fatty acid	4		"- in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) confusing name, sorry - accounting for omega3 vs omega6 FA peroxisomal (very long chain FA) c24:5,n-3 -&gt; c22:5, n-3 4 step FAO lumped also "
R1708	Beta oxidation of long chain fatty acid	4		"peroxisomal (very long chain FA) - - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:5,n-6 -&gt; c22:5, n-6 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1709	Beta oxidation of long chain fatty acid	4		"peroxisomal (very long chain FA) - - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c24:6 -&gt; c22:6 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 NJ"
R1710	Beta oxidation of long chain fatty acid	4		"peroxisomal (very long chain FA) - in peroxisome, no fad, 1ste set of beta-ox is by acyl-coa oxidase (passes electrons directly to o2 -&gt; h2o2) c26:0 -&gt; c24:0 4 step FAO lumped also includes EC 1.1.1.35, 1.1.1.211, 1.3.3.6, 4.2.1.17, 4.2.1.74 -&gt; into pmtcoa NJ"
R1712	fatty acyl-CoA synthase (n-C10:0CoA)	4	"PMID:11756679,PMID:15507492,PMID:2669958"	NCD
R1713	fatty-acyl-CoA synthase (n-C12:0CoA)	4	"PMID:11756679,PMID:15507492"	NCD
R1714	fatty-acyl-CoA synthase (n-C14:0CoA)	4	"PMID:11756679,PMID:15507492,PMID:2669958"	NCD
R1715	fatty-acyl-CoA synthase (n-C16:0CoA)	4	"PMID:11756679,PMID:15507492,PMID:2669958"	NCD
R1716	fatty-acyl-CoA synthase (n-C18:0CoA)	4	"PMID:11756679,PMID:15507492,PMID:2669958"	NCD
R1717	"fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction"	4	"PMID:11756679,PMID:15507492,PMID:2669958"	NCD
R1723	fatty acid electroneutral transport	4	"PMID:10479480,PMID:12856180,PMID:15522816"	electroneutral transport NJ
R1724	fatty acid electroneutral transport	4	"PMID:10479480,PMID:12856180,PMID:15522816"	electroneutral transport NJ
R1725	fatty acid electroneutral transport	4	"PMID:10479480,PMID:12856180,PMID:15522816"	electroneutral transport NJ
R1726	fatty acid electroneutral transport	4	"PMID:10479480,PMID:12856180,PMID:15522816"	electroneutral transport NJ
R1727	fructose-bisphosphate aldolase	0	"PMID:12626877,PMID:6765112"	6765112 - fluorescence of presence in human brain
R1728	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	2		NCD
R1729	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	4	"PMID:2996495,PMID:6284103,PMID:6298387"	NCD
R1732	"Fructose-2,6-bisphosphate 2-phosphatase"	0		IF
R1769	D-fructose transport in via uniport	4	"PMID:10821868,PMID:10860996,PMID:11583593,PMID:11780753,PMID:11882499,PMID:12135767,PMID:12750891,PMID:15033637,PMID:1634504,PMID:1695905,PMID:1701966,PMID:2182619,PMID:3399500,PMID:8419132,PMID:9770484"	NCD
R1787	"alpha-fucosidase, extracellular"	4	"PMID:10460218,PMID:11389735,PMID:12604617,PMID:2317201"	NCD
R1788	"alpha-fucosidase, lysosomal"	4	"PMID:11870229,PMID:1769200,PMID:2803312,PMID:2983333"	NCD
R1789	"alpha-fucosidase, extracellular"	0		NCD
R1790	"alpha-fucosidase, lysosomal"	0		NCD
R1811	"Fumarate:sulfite antiport, mitochondrial"	4	"PMID:14598172,PMID:4441366"	MM
R1812	"Fumarate:sulfate antiport, mitochondrial"	4	"PMID:14598172,PMID:4441366"	MM
R1813	"fumarate transport, mitochondrial"	4	"PMID:14598172,PMID:3587497"	TDV
R1814	"Fumarate:thiosulfate antiport, mitochondrial"	4	"PMID:14598172,PMID:4441366"	MM
R1892	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1893	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1894	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1895	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1896	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1897	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1898	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1899	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1900	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1901	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1902	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1903	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1904	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1905	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1906	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1907	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1908	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1909	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1910	"beta-galactosidase, lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NCD
R1937	galactose transport (uniport)	4	"PMID:10421229,PMID:10821868,PMID:10860996,PMID:11247674,PMID:11592815,PMID:11882499,PMID:12135767,PMID:12750891,PMID:1701966,PMID:2182619,PMID:3103217,PMID:3170580,PMID:3399500,PMID:3839598,PMID:7926364,PMID:8504756,PMID:9230074,PMID:9770484"	NCD
R1945	"glucoamylase, extracellular (glygn5 -> malt)"	4	PMID:3143729	NCD
R1960	Glycolaldehyde dehydrogenase	2	PMID:11434452	JLR
R2012	D-Glucuronolactone:NAD+ oxidoreductase	2	PMID:3779687	NCD
R2016	Beta-galactosidase	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	NJ
R2052	glucose transport (uniport)	4	"PMID:10421229,PMID:10821868,PMID:10860667,PMID:10860996,PMID:10970791,PMID:11247674,PMID:11583593,PMID:11592815,PMID:11780753,PMID:11832379,PMID:11882499,PMID:12135767,PMID:12483288,PMID:12504846,PMID:12750891,PMID:12914765,PMID:14739288,PMID:15033637,PMID:1701966,PMID:2182619,PMID:2656669,PMID:3103217,PMID:3170580,PMID:3399500,PMID:3839598,PMID:7926364,PMID:8504756,PMID:9230074,PMID:9770484"	
R2077	Glutamate Decarboxylase	4	"PMID:1924293,PMID:8088791"	JLR- added h to balance
R2212	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA) (peroxisome)	0	"PMID:10319576,PMID:11111079"	Same as EC 1.1.1.157 SAB x
R2213	"3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA), mitochondrial"	4	PMID:12872843	MM. inborn deficiency enzyme causes accumulation of substrate 3-hydroxy-2-methylbutyric acid
R2222	fatty acid transport via diffusion	2	"PMID:11788354,PMID:12864740"	NJ
R2226	hexokinase (D-glucose:ATP)	2		
R2227	hexokinase (D-glucosamine:ATP)	1		"D-Glucose, D-mannose, D-fructose, sorbitol and D-glucosamine can act as acceptors; ITP and dATP can act as donors. The liver isoenzyme has sometimes been called glucokinase."
R2228	hexokinase (D-mannose:ATP)	2		"D-Glucose, D-mannose, D-fructose, sorbitol and D-glucosamine can act as acceptors; ITP and dATP can act as donors. The liver isoenzyme has sometimes been called glucokinase. also active in ecoli PMID: 4557975"
R2229	hexokinase (D-fructose:ATP)	2		"D-Glucose, D-mannose, D-fructose, sorbitol and D-glucosamine can act as acceptors; ITP and dATP can act as donors. The liver isoenzyme has sometimes been called glucokinase. Same as 2.7.1.4"
R2231	carnitine O-palmitoyltransferase	4		NJ
R2245	H+/K+ gastric/non-gastric P-ATPase and ABC ATPase	4	"PMID:2160952,PMID:7900835"	"TV, RS (5/16/2005) This reaction are catalyzed by two classes of ATPase pumps (P-and ABC types)"
R2256	Heme oxygenase 1	0	PMID:16356137	"TDV (4/28/2004) There are conflicting data on how many moles of NADPH consumed per mole of Biliverdine (Tenhunen 1969, Ryter, 2000). Heme oxygenase is a well known enzyme"
R2259	carnitine fatty-acyl transferase	4	PMID:1988962	NJ
R2281	hydroxysteroid (17-beta) dehydrogenase 4	4		see Russell bile acid synthesis review paper in human recon citation db adamanski et al Steroids (1997) 62:159 notes cofactor NADP/NADPH use
R2282	hydroxysteroid (17-beta) dehydrogenase 4	4		see Russell bile acid synthesis review paper in human recon citation db adamanski et al Steroids (1997) 62:159 notes cofactor NADP/NADPH use
R2310	Isocitrate dehydrogenase (NAD+)	0	"PMID:10601238,PMID:14555658"	"The reaction may be reversible. Strathern shows the reactions as irreversible. IF. Biochemical, Genetic"
R2339	inositol transport in via proton symport	4	"PMID:11500374,PMID:12750891"	
R2349	"b-ketoacyl synthetase (palmitate, n-C16:0)"	4	"PMID:11756679,PMID:15507492,PMID:2669958"	
R2368	"b-galactosidase,lysosomal"	4	"PMID:11550799,PMID:1755850,PMID:1794986,PMID:1953646,PMID:2111707,PMID:3143362,PMID:39554,PMID:7213753,PMID:7575473,PMID:8985184,PMID:9020182,PMID:9054950"	Some enzymes in this group hydrolyse a-L-arabinosides; some animal enzymes also hydrolyse b-D-fucosides and b-D-glucosides; cf. EC 3.2.1.108 lactase
R2372	lactaldehyde dehydrogenase	2	"PMID:15987839,PMID:2296157,PMID:6487654"	JLR- added irreversible form of LCAD
R2373	lactaldehyde dehydrogenase	2	"PMID:15987839,PMID:2296157,PMID:6487654"	JLR- added irreversible form of LCAD
R2376	Lecithin-cholesterol acyltransferase	4	"PMID:11435418,PMID:11966470"	NJ
R2381	3-Sulfoalanine carboxy-lyase	4		SAB
R2401	carnitine O-palmitoyltransferase	4		NJ
R2404	fatty acid transport via diffusion	2	"PMID:11788354,PMID:12864740"	NJ
R2417	carnitine O-palmitoyltransferase	4		NJ
R2421	carnitine O-palmitoyltransferase	4		NJ
R2425	carnitine O-palmitoyltransferase	4		NJ
R2429	carnitine O-palmitoyltransferase	4		NJ
R2435	lysophospholipase	4	PMID:9430701	phosphatidyl choline degradation NJ
R2438	lipase	4	PMID:1969408	carbonyl and extra H accounted for in R group NJ
R2439	lipase	4	PMID:1969408	FULLR corresponds to acyl/R groups in texts. NJ
R2440	"lipase, extracellular"	2	PMID:14630921	carbonyl and extra H accounted for in R group NJ
R2442	"lipase, extracellular"	2	PMID:14630921	NJ
R2444	lipase	4	"PMID:10318835,PMID:1379598,PMID:1783385,PMID:2753032,PMID:3304425"	FULLR corresponds to acyl/R groups in texts. NJ
R2450	Lathosterol oxidase	4	PMID:10344195	lanosterol -&gt; cholesterol pathway NJ
R2456	"histone-lysine N-methyltransferase, nuclear"	4	PMID:14765126	MM. siRNA knockdown in cell line - inhibited function; mainly function in heterochromatic regions
R2457	"histone-lysine N-methyltransferase, nuclear"	4	PMID:14765126	MM. siRNA knockdown in cell line - inhibited function; mainly function in heterochromatic regions
R2458	"histone-lysine N-methyltransferase, nuclear"	4	PMID:14765126	MM. siRNA knockdown in cell line - inhibited function; mainly function in heterochromatic regions
R2467	"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"	0	"PMID:10024668,PMID:10372966"	NCD
R2481	3-Methylimidazole acetaldehyde:NAD+ oxidoreductase	4	PMID:10344773	SAB added 2 h to balance--not certain
R2483	"Malate:sulfite antiport, mitochondrial"	4	"PMID:14598172,PMID:4441366"	MM
R2484	"Malate:sulfate antiport, mitochondrial"	4	"PMID:14598172,PMID:4441366"	MM
R2488	"malate transport, mitochondrial"	4	PMID:14598172	IF
R2489	"Malate:thiosulfate antiport, mitochondrial"	4	"PMID:14598172,PMID:4441366"	MM
R2490	maltose transport (uniport)	4	"PMID:10421229,PMID:12750891,PMID:3170580,PMID:8504756,PMID:9230074"	NCD
R2497	mannose transport (uniport)	4	"PMID:11882499,PMID:12135767,PMID:12750891,PMID:1701966,PMID:2182619,PMID:3103217,PMID:3399500,PMID:3839598,PMID:7926364,PMID:9770484"	NCD
R2511	Malonyl-CoA-ACP transacylase	4	"PMID:11756679,PMID:15507492"	tv
R2518	malic enzyme (NADP)	0	PMID:1993674	
R2547	"inositol-1,3,4,5-trisphosphate 5-phosphatase"	4	"PMID:10593988,PMID:10764818,PMID:15261714,PMID:2906139,PMID:7721860,PMID:8006039,PMID:8013665,PMID:8530088,PMID:8769125,PMID:9428629,PMID:9824312"	NCD
R2558	"inositol-1,4,5-trisphosphate 5-phosphatase"	4	"PMID:10593988,PMID:10764818,PMID:15261714,PMID:2906139,PMID:7721860,PMID:8006039,PMID:8013665,PMID:8530088,PMID:8769125,PMID:9428629,PMID:9824312"	NCD
R2572	"Maltodextrin glucosidase (maltotriose), extracellular"	4	PMID:3143729	JLR
R2573	"Maltodextrin glucosidase (maltotriose), lysosome"	4	PMID:3049072	JLR
