Metabolite_ID	Metabolites	Names	Formulas	HMDB_ID	KEGG_ID	PubChem_ID	CHEBI_ID
M307	pmtcoa[x]	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	HMDB01338	C00154	15667	15525
M315	acald[x]	acetaldehyde	C2H4O	HMDB00990	C00084	177	15343
M319	adp[m]	ADP	C10H12N5O10P2	HMDB01341	C00008	6022	16761
M343	idp[c]	IDP(3-)	C10H11N4O11P2	HMDB03335	C00104	6831	17808
M348	gam6p[c]	D-Glucosamine 6-phosphate	C6H13NO8P	HMDB01254	C00352	121988	15873
M356	ac[c]	acetate	C2H3O2	HMDB00042	C00033	176	15366
M359	ach[e]	acetylcholine	C7H16NO2	HMDB00895	C01996	187	15355
M360	ac[e]	acetate	C2H3O2	HMDB00042	C00033	176	15366
M381	man6p[c]	D-Mannose 6-phosphate	C6H11O9P	HMDB01078	C00275	65127	49728
M384	acnam[l]	N-acetylneuraminate	C11H18NO9	HMDB00230	C19910	439197	45744
M390	fad[m]	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	HMDB01248	C00016	643975	16238
M392	fadh2[m]	Flavin adenine dinucleotide reduced	C27H33N9O15P2	HMDB01197	C01352	446013	17877
M399	h2o2[x]	Hydrogen peroxide	H2O2	HMDB03125	C00027	784	16240
M400	hdd2coa[x]	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	HMDB03945	C05272	46173176	61526
M401	ACP[c]	acyl carrier protein	C11H21N2O7PRS				18359
M402	acACP[c]	Acetyl-ACP	C13H23N2O8PRS				NA
M404	orn[c]	Ornithine	C5H13N2O2	HMDB00214	C00077	6262	15729
M406	cit[m]	Citrate	C6H5O7	HMDB00094	C00158	311	30769
M407	icit[m]	Isocitrate	C6H5O7	HMDB00193	C00311	1198	30887
M408	dhcholoylcoa[x]	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	C48H74N7O19P3S	HMDB06895	C05447	5280796	27393
M409	fadh2[x]	Flavin adenine dinucleotide reduced	C27H33N9O15P2	HMDB01197	C01352	446013	17877
M410	fad[x]	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	HMDB01248	C00016	643975	16238
M414	cholcoads[x]	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	C48H74N7O20P3S	HMDB06889	C05460	5280797	27505
M425	13dpg[c]	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	HMDB01270	C00236	439191	16001
M432	ade[e]	Adenine	C5H5N5	HMDB00034	C00147	190	16708
M437	gtp[c]	GTP	C10H12N5O14P3	HMDB01273	C00044	6830	15996
M440	gdp[m]	GDP	C10H12N5O11P2	HMDB01201	C00035	8977	17552
M442	datp[c]	dATP	C10H12N5O12P3	HMDB01532	C00131	15993	16284
M443	dadp[c]	dADP	C10H12N5O9P2	HMDB01508	C00206	188966	16174
M459	adrncoa[x]	adrenyl coenzyme A	C43H66N7O17P3S		C16170		NA
M461	adrncrn[c]	Adrenyl carnitine	C29H49NO4	HMDB06321		53477825	NA
M466	adrn[e]	adrenic acid	C22H35O2	HMDB02226	C16527	5497181	53487
M490	ksii_core4_pre2[g]	keratan sulfate II boisynthesis, precursor 2	C47H76N4O33X				NA
M502	ksi_pre1[g]	keratan sulfate I biosynthesis, precursor 1	C79H129N5O57X				NA
M524	Rtotal2[c]	R total 2 position	CO2FULLR2				NA
M525	agm[m]	agmatinium(2+)	C5H16N4	HMDB01432	C00179	199	17431
M530	pa_hs[c]	phosphatidate(2-)	C3H5O4PFULLRCO2FULLR2CO2				57739
M547	ahcys[n]	S-Adenosyl-L-homocysteine	C14H20N6O5S	HMDB00939	C00021	439155	16680
M550	n2m2mn[l]	de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)	C42H71N3O31				NA
M555	ak2lgchol_hs[e]	1-alkyl 2-lysoglycerol 3-phosphocholine	C10H21O5NPFULLR		C04317		NA
M556	ak2lgchol_hs[c]	1-alkyl 2-lysoglycerol 3-phosphocholine	C10H21O5NPFULLR		C04317		NA
M558	mal_L[c]	(S)-malate(2-)	C4H4O5	HMDB00156	C00149	222656	30797
M559	mal_L[m]	(S)-malate(2-)	C4H4O5	HMDB00156	C00149	222656	30797
M582	ser_L[c]	L-serine	C3H7NO3	HMDB00187	C00065	5951	17115
M588	fald[c]	formaldehyde	CH2O	HMDB01426	C00067	712	16842
M603	dhap[c]	Dihydroxyacetone phosphate	C3H5O6P	HMDB01473	C00111	668	16108
M611	dhcholestancoa[x]	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	C48H76N7O19P3S	HMDB02159	C04644	440420	15494
M612	dhcholestancoa[r]	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	C48H76N7O19P3S	HMDB02159	C04644	440420	15494
M616	cholcoar[x]	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)	C48H76N7O20P3S	HMDB02178	C05448	15942889	37642
M617	cholcoar[r]	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)	C48H76N7O20P3S	HMDB02178	C05448	15942889	37642
M626	amp[x]	AMP	C10H12N5O7P	HMDB00045	C00020	6083	16027
M627	amp[r]	AMP	C10H12N5O7P	HMDB00045	C00020	6083	16027
M629	glc_D[e]	D-glucose	C6H12O6	HMDB00122	C00031	5793	4167
M667	arachcoa[x]	arachidyl coenzyme A	C41H70N7O17P3S	HMDB04258	C02041	16061151	15527
M668	arachcrn[c]	arachidyl carnitine	C27H53NO4	HMDB06460		53477833	NA
M672	arachdcoa[x]	arachidonoyl-CoA(4-)	C41H62N7O17P3S	HMDB06523	C02249	16061152	57368
M673	arachd[e]	arachidonate	C20H31O2	HMDB01043	C00219	444899	15843
M681	urea[c]	Urea	CH4N2O	HMDB00294	C00086	1176	16199
M687	so4[l]	sulfate	O4S	HMDB01448	C00059	1118	16189
M689	Rtotal[c]	R total	CO2FULLR				NA
M691	Rtotal3[c]	R total 3 position	CO2FULLR3				NA
M692	pmtcoa[c]	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	HMDB01338	C00154	15667	15525
M695	tdcoa[c]	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	HMDB01521	C02593	25244582	57385
M706	stcoa[c]	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	HMDB01114	C00412	439229	15541
M722	hdd2coa[c]	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	HMDB03945	C05272	46173176	61526
M725	pmtcoa[m]	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	HMDB01338	C00154	15667	15525
M733	dhdascb[c]	dehydroascorbide(1-)	C6H6O6	HMDB01264	C00425	5780	17242
M739	ala_B[c]	beta-alanine	C3H7NO2	HMDB00056	C00099		16958
M743	k[c]	potassium	K	HMDB00586	C00238	813	29103
M750	adp[r]	ADP	C10H12N5O10P2	HMDB01341	C00008	6022	16761
M758	avite1[e]	(+)-alpha-tocopherol	C29H50O2	HMDB01893	C02477	14985	18145
M806	succ[c]	Succinate	C4H4O4	HMDB00254	C00042	1110	15741
M811	glc_D[c]	D-glucose	C6H12O6	HMDB00122	C00031	5793	4167
M831	biliverd[c]	biliverdin(2-)	C33H32N4O6	HMDB01008	C00500		17033
M832	bilirub[c]	bilirubin(2-)	C33H34N4O6	HMDB00054	C00486		16990
M834	bilirub[r]	bilirubin(2-)	C33H34N4O6	HMDB00054	C00486		16990
M862	pmtcrn[c]	L-palmitoylcarnitine	C23H45NO4	HMDB00222	C02990	11953816	17490
M864	hdcecrn[c]	Hexadecenoyl carnitine	C23H43NO4	HMDB00222	C02990	11953816	17490
M865	hdd2crn[c]	trans-Hexadec-2-enoyl carnitine	C23H43NO4	HMDB06317		53477817	NA
M869	hdd2coa[m]	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	HMDB03945	C05272	46173176	61526
M870	stcrn[c]	stearoylcarnitine	C25H49NO4	HMDB00848		6426855	NA
M873	odecrn[c]	octadecenoyl carnitine	C25H47NO4				NA
M876	arachdcrn[c]	C20:4 carnitine	C27H45NO4				NA
M879	c226coa[x]	cervonyl coenzyme A	C43H62N7O17P3S		C16169		NA
M880	c226crn[c]	cervonyl carnitine	C29H45NO4	HMDB06510			NA
M886	3h26dm5coa[x]	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	C31H48N7O18P3S	HMDB04601	C11947	9543313	NA
M889	co2[r]	carbon dioxide	CO2	HMDB01967	C00011	280	16526
M893	zymst[r]	zymosterol	C27H44O	HMDB06271	C05437	92746	18252
M894	ca2[c]	calcium(2+)	Ca	HMDB00464	C00076		29108
M895	ca2[e]	calcium(2+)	Ca	HMDB00464	C00076		29108
M901	h2o2[m]	Hydrogen peroxide	H2O2	HMDB03125	C00027	784	16240
M912	pi[r]	hydrogenphosphate	HO4P	HMDB00973	C00009	1004	43474
M913	ppi[r]	Diphosphate	HO7P2	HMDB00250	C00013	1023	29888
M922	inost[c]	myo-inositol	C6H12O6	HMDB00211	C00137	892	17268
M925	ctp[c]	CTP	C9H12N3O14P3	HMDB00082	C00063	6176	17677
M927	pa_hs[m]	phosphatidate(2-)	C3H5O4PFULLRCO2FULLR2CO2				57739
M928	dag_hs[c]	diglyceride	C3H6OFULLRCO2FULLR2CO2				NA
M930	pe_hs[c]	phosphatidylethanolamine	C5H12NO4PFULLRCO2FULLR2CO2				16038
M931	crm_hs[c]	N-acylsphingosine	C18H36NO2FULLRCO				52639
M940	chol[c]	Choline	C5H14NO	HMDB00097	C00114	305	15354
M944	chol[m]	Choline	C5H14NO	HMDB00097	C00114	305	15354
M949	chol[g]	Choline	C5H14NO	HMDB00097	C00114	305	15354
M950	chol[r]	Choline	C5H14NO	HMDB00097	C00114	305	15354
M951	chsterol[c]	cholesterol	C27H46O	HMDB00067	C00187	5997	16113
M953	chsterol[e]	cholesterol	C27H46O	HMDB00067	C00187	5997	16113
M977	clpndcoa[x]	clupanodonyl CoA	C43H64N7O17P3S	HMDB06267	C16166	53477812	NA
M978	clpndcrn[c]	clupanodonyl carnitine	C29H47NO4	HMDB06496			NA
M985	cmp[g]	CMP	C9H12N3O8P	HMDB00095	C00055	6131	17361
M1001	q10[m]	ubiquinone-10	C59H90O4	HMDB01072	C11378	5281915	46245
M1012	co[c]	carbon monoxide	CO	HMDB01361	C00237	281	17245
M1025	pcrn[c]	propionyl-carnitine	C10H19NO4	HMDB00824	C03017	107738	28867
M1039	crvnc[e]	cervonic acid, C22:6 n-3	C22H31O2	HMDB02183	C06429		28125
M1053	dmnoncoa[x]	4,8 dimethylnonanoyl-CoA	C32H54N7O17P3S	HMDB11604			NA
M1054	ppcoa[x]	Propanoyl-CoA	C24H36N7O17P3S	HMDB01275	C00100	439164	57392
M1070	utp[c]	UTP	C9H11N2O15P3	HMDB00285	C00075	6133	15713
M1076	q10h2[m]	Ubiquinol-10	C59H92O4	HMDB13111	C00390	9962735	64183
M1098	dgtp[c]	dGTP	C10H12N5O13P3	HMDB01440	C00286	65103	16497
M1099	dgdp[c]	dGDP	C10H12N5O10P2	HMDB00960	C00361	439220	28862
M1105	dcdp[c]	dCDP	C9H12N3O10P2	HMDB01245	C00705	150855	28846
M1115	adp[n]	ADP	C10H12N5O10P2	HMDB01341	C00008	6022	16761
M1127	dag_hs[e]	diglyceride	C3H6OFULLRCO2FULLR2CO2				NA
M1135	dd2coa[m]	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	HMDB03712	C03221	45266564	57330
M1141	dcsptn1coa[x]	docosa-4,7,10,13,16-pentaenoyl coenzyme A	C43H64N7O17P3S	HMDB06513	C16173	23724650	NA
M1142	dcsptn1crn[c]	docosa-4,7,10,13,16-pentaenoyl carnitine	C29H47NO4	HMDB06321			NA
M1166	tag_hs[c]	triglyceride	C3H5FULLRCO2FULLR2CO2FULLR3CO2				17855
M1184	fad[r]	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	HMDB01248	C00016	643975	16238
M1187	lthstrl[r]	5alpha-cholest-7-en-3beta-ol	C27H46O	HMDB01170	C01189	65728	17168
M1192	fadh2[c]	Flavin adenine dinucleotide reduced	C27H33N9O15P2	HMDB01197	C01352	446013	17877
M1205	cala[c]	N-carbamoyl-beta-alaninate	C4H7N2O3	HMDB00026	C02642		18261
M1223	lac_D[c]	(R)-lactate	C3H5O3	HMDB01311	C00256	61503	42111
M1225	dlnlcgcrn[c]	dihomo-gamma-linolenyl carnitine	C27H47NO4				NA
M1228	dlnlcg[e]	dihomo-gamma-linolenic acid (n-6)	C20H33O2	HMDB02925	C03242	3011	53486
M1264	ppi[x]	Diphosphate	HO7P2	HMDB00250	C00013	1023	29888
M1279	dna5mtc[n]	DNA 5-methylcytosine	C11H19O8PR2		C02967		NA
M1281	seahcys[n]	Se-Adenosylselenohomocysteine	C14H20N6O5Se	HMDB11117	C05692	16682731	NA
M1284	dudp[c]	dUDP	C9H11N2O11P2	HMDB01000	C01346	145729	28850
M1289	dttp[c]	dTTP	C10H13N2O14P3	HMDB01342	C00459	64968	18077
M1340	g3p[c]	Glyceraldehyde 3-phosphate	C3H5O6P	HMDB01112	C00661	729	17138
M1361	3hbcoa[x]	(S)-3-hydroxybutanoyl-CoA(4-)	C25H38N7O18P3S	HMDB01166	C03561	9543037	15453
M1362	b2coa[x]	crotonoyl-CoA(4-)	C25H36N7O17P3S	HMDB02009	C00877	5280381	57332
M1367	eicostetcrn[c]	Eicosatetranoyl carnitine	C27H45NO4				NA
M1372	elaidcrn[c]	Elaidic carnitine	C25H47NO4	HMDB06464		6441392	NA
M1375	elaid[e]	elaidate	C18H33O2	HMDB00573	C00712	445639	16196
M1376	elaid[c]	elaidate	C18H33O2	HMDB00573	C00712	445639	16196
M1446	fru[e]	D-Fructose	C6H12O6	HMDB00660	C02336	439709	28645
M1460	fuc_L[e]	L-fucose	C6H12O5	HMDB00174	C01019	17106	2181
M1475	glyc[e]	Glycerol	C3H8O3	HMDB00131	C00116	753	17754
M1493	hdca[e]	Hexadecanoate (n-C16:0)	C16H31O2	HMDB00220	C00249	985	15756
M1494	hdcea[e]	Hexadecenoate (n-C16:1)	C16H29O2	HMDB03229	C08362	445638	28716
M1509	ksi_deg1[e]	keratan sulfate I, degradation product 1	C241H383N17O209S12X				NA
M1521	lgnc[e]	lignocerate	C24H47O2	HMDB02003	C08320	11197	28866
M1525	lnlc[e]	linoleate	C18H31O2	HMDB00673	C01595	5280450	17351
M1526	lnlnca[e]	alpha-linolenate	C18H29O2	HMDB01388	C06427	5280934	27432
M1527	lnlncg[e]	gamma-linolenate	C18H29O2	HMDB03073	C06426	5280933	28661
M1528	lpchol_hs[e]	lysophosphatidylcholine	C8H19NO5PFULLRCO2				11230
M1529	mag_hs[e]	monoacylglycerol 2	C3H7O2FULLR2CO2				NA
M1530	malt[e]	Maltose	C12H22O11	HMDB00163	C00208	439186	17306
M1548	nrvnc[e]	nervonate	C24H45O2	HMDB02368	C08323	5281120	44247
M1554	ocdcea[e]	octadecenoate (n-C18:1)	C18H33O2	HMDB00207	C00712	5460221	30823
M1560	pchol_hs[e]	Phosphatidylcholine	C8H18NO4PFULLRCO2FULLR2CO2				NA
M1594	Rtotal[e]	R total	CO2FULLR				NA
M1595	Rtotal2[e]	R total 2 position	CO2FULLR2				NA
M1596	Rtotal3[e]	R total 3 position	CO2FULLR3				NA
M1598	s2l2n2m2masn[e]	de-Fuc form of PA6	C84H135N6O61X				NA
M1608	strdnc[e]	stearidonic acid C18:4, n-3	C18H27O2	HMDB06547	C16300	163841	32389
M1639	ttdca[e]	tetradecanoate (n-C14:0)	C14H27O2	HMDB00806	C06424	11005	28875
M1642	Tyr_ggn[e]	Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis)	XOH				NA
M1660	xolest2_hs[e]	cholesterol ester	C27H45FULLR2CO2				17002
M1677	ttdca[c]	tetradecanoate (n-C14:0)	C14H27O2	HMDB00806	C06424	11005	28875
M1681	hdca[c]	Hexadecanoate (n-C16:0)	C16H31O2	HMDB00220	C00249	985	15756
M1683	hdcea[c]	Hexadecenoate (n-C16:1)	C16H29O2	HMDB03229	C08362	445638	28716
M1702	pristcoa[c]	pristanoyl coa	C40H68N7O17P3S			25137904	51341
M1705	phytcoa[c]	phytanoyl-CoA(4-)	C41H70N7O17P3S	HMDB01359	C02060	439640	15538
M1706	lgnc[c]	lignocerate	C24H47O2	HMDB02003	C08320	11197	28866
M1714	occoa[c]	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	HMDB01070	C01944	380	57386
M1724	stcoa[x]	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	HMDB01114	C00412	439229	15541
M1730	lnlncgcoa[x]	gamma-linolenoyl-CoA(4-)	C39H60N7O17P3S	HMDB06368	C03035	11966132	15508
M1732	strdnccoa[x]	stearidonyl coenzyme A	C39H58N7O17P3S	HMDB06519	C16163	23724640	NA
M1734	tmndnccoa[x]	timnodonyl coenzyme A	C41H60N7O17P3S	HMDB06514		52922050	NA
M1735	lgnccoa[x]	lignocericyl coenzyme A	C45H78N7O17P3S	HMDB06526	C16529	53477849	NA
M1737	odecoa[x]	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	HMDB01322	C00510	92160	15534
M1743	dcacoa[c]	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	HMDB06404	C05274	440615	61430
M1744	ddcacoa[c]	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	HMDB03571	C01832	165436	15521
M1747	glyald[c]	D-Glyceraldehyde	C3H6O3	HMDB01051	C02154	79014	17378
M1749	gcald[c]	glycolaldehyde	C2H4O2	HMDB03344	C00266	756	17071
M1751	f6p[c]	D-Fructose 6-phosphate	C6H11O9P	HMDB00124	C00085	69507	15946
M1752	f26bp[c]	beta-D-fructofuranose 2,6-bisphosphate(4-)	C6H10O12P2	HMDB01047	C00665	105021	28602
M1757	fe2[c]	Fe2+	Fe	HMDB00692	C14818	27284	29033
M1761	fol[c]	Folate	C19H18N7O6	HMDB00121	C00504	6037	27470
M1765	for[n]	Formate	CH1O2	HMDB00142	C00058	284	30751
M1771	fru[c]	D-Fructose	C6H12O6	HMDB00660	C02336	439709	28645
M1786	fuc_L[l]	L-fucose	C6H12O5	HMDB00174	C01019	17106	2181
M1787	ksi_deg1[l]	keratan sulfate I, degradation product 1	C241H383N17O209S12X				NA
M1789	s2l2n2m2masn[l]	de-Fuc form of PA6	C84H135N6O61X				NA
M1807	fum[m]	Fumarate	C4H2O4	HMDB00134	C00122	444972	18012
M1809	so4[c]	sulfate	O4S	HMDB01448	C00059	1118	16189
M1811	tsul[c]	thiosulfate(2-)	O3S2	HMDB00257	C05529	1084	16094
M1812	acngalacglcgalgluside_hs[g]	(Gal)3 (Glc)1 (GlcNAc)1 (Cer)1	C55H95N3O30FULLRCO				NA
M1839	ksii_core2_pre1[g]	keratan sulfate II biosynthesis, precursor 1	C33H53N3O23X				NA
M1860	g6p[c]	D-Glucose 6-phosphate	C6H11O9P	HMDB01401	C00092	5958	4170
M1871	gal[l]	D-Galactose	C6H12O6	HMDB00143	C00984	439357	28061
M1872	ksi_deg27[l]	keratan sulfate I, degradation product 27	C104H169N7O88S4				NA
M1874	ksi_deg30[l]	keratan sulfate I, degradation product 30	C90H147N6O75S3				NA
M1876	ksi_deg33[l]	keratan sulfate I, degradation product 33	C76H125N5O62S2				NA
M1878	ksi_deg36[l]	keratan sulfate I, degradation product 36	C62H103N4O49S1				NA
M1880	ksi_deg39[l]	keratan sulfate I, degradation product 39	C48H81N3O36				NA
M1882	ksi_deg41[l]	keratan sulfate I, degradation product 41	C34H58N2O26				NA
M1883	ksii_core2_deg2[l]	keratan sulfate II (core 2-linked), degradation product 2	C70H114N5O56S2X				NA
M1884	ksii_core2_deg3[l]	keratan sulfate II (core 2-linked), degradation product 3	C58H94N5O46S2X				NA
M1886	ksii_core2_deg6[l]	keratan sulfate II (core 2-linked), degradation product 6	C44H72N4O33SX				NA
M1888	ksii_core2_deg9[l]	keratan sulfate II (core 2-linked), degradation product 9	C30H50N3O20X				NA
M1889	core6[l]	Core 6	C16H27N2O10X				NA
M1890	l2n2m2mn[l]	de-Fuc, reducing GlcNAc removed, de-Sia form of PA6 (w/o peptide linkage)	C54H91N3O41				NA
M1891	ksii_core4_deg2[l]	keratan sulfate II (core 4-linked), degradation product 2	C78H127N6O61S2X				NA
M1892	ksii_core4_deg3[l]	keratan sulfate II (core 4-linked), degradation product 3	C66H107N6O51S2X				NA
M1893	ksi_deg5[l]	keratan sulfate I, degradation product 5	C222H356N15O194S11				NA
M1894	ksi_deg6[l]	keratan sulfate I, degradation product 6	C210H336N15O184S11				NA
M1896	ksi_deg9[l]	keratan sulfate I, degradation product 9	C188H301N13O166S10				NA
M1898	ksi_deg12[l]	keratan sulfate I, degradation product 12	C174H279N12O153S9				NA
M1900	ksi_deg15[l]	keratan sulfate I, degradation product 15	C160H257N11O140S8				NA
M1902	ksi_deg18[l]	keratan sulfate I, degradation product 18	C146H235N10O127S7				NA
M1904	ksi_deg21[l]	keratan sulfate I, degradation product 21	C132H213N9O114S6				NA
M1906	ksi_deg24[l]	keratan sulfate I, degradation product 24	C118H191N8O101S5				NA
M1915	gal[c]	D-Galactose	C6H12O6	HMDB00143	C00984	439357	28061
M1944	gluside_hs[l]	D-glucosyl-N-acylsphingosine	C24H46NO7FULLRCO				18368
M1945	glc_D[l]	D-glucose	C6H12O6	HMDB00122	C00031	5793	4167
M1948	glyclt[c]	glycolate	C2H3O3	HMDB00115	C00160	757	17497
M1983	glcr[c]	D-glucarate(2-)	C6H8O8	HMDB00663	C00818	33037	16002
M2069	g3pc[c]	sn-Glycero-3-phosphocholine	C8H20NO6P	HMDB00086	C00670	439285	16870
M2095	h2o2[n]	Hydrogen peroxide	H2O2	HMDB03125	C00027	784	16240
M2108	hexccrn[c]	hexacosanoyl carnitine	C33H65NO4	HMDB06347		53477828	NA
M2112	his_L[c]	L-histidine	C6H9N3O2	HMDB00177	C00135	6274	15971
M2124	pheme[c]	Protoheme	C34H30FeN4O4	HMDB03178	C00032		17627
M2127	hpdcacrn[c]	heptadecanoyl carnitine	C24H47NO4	HMDB06210		53477803	NA
M2146	cholcoaone[x]	3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestan-26-oyl-CoA(4-)	C48H74N7O21P3S	HMDB06891	C05467	25195379	27379
M2156	xol7a[r]	20-hydroxycholesterol	C27H46O2		C05500	121935	1296
M2167	taur[c]	Taurine	C2H7NO3S	HMDB00251	C00245	1123	15891
M2208	lac_L[c]	(S)-lactate	C3H5O3	HMDB00190	C00186	107689	422
M2225	lgnccrn[c]	lignoceryl carnitine	C31H61NO4				NA
M2234	lneldccrn[c]	Linoelaidyl carnitine	C25H45NO4	HMDB06461		53477834	NA
M2236	lnlccrn[c]	Linoleyl carnitine	C25H45NO4	HMDB06469		6450015	NA
M2238	lnlncacrn[c]	alpha-linolenyl carnitine	C25H43NO4	HMDB06319		53477821	NA
M2240	lnlncgcrn[c]	gamma-linolenyl carnitine	C25H43NO4	HMDB06318		53477819	NA
M2246	lpchol_hs[c]	lysophosphatidylcholine	C8H19NO5PFULLRCO2				11230
M2248	mag_hs[c]	monoacylglycerol 2	C3H7O2FULLR2CO2				NA
M2260	Nmelys[n]	Histone N6-methyl-L-lysine	CXH4		C03702		NA
M2261	Ndmelys[n]	Protein N6,N6-dimethyl-L-lysine	C2H7X		C05545		NA
M2262	Ntmelys[n]	Protein N6,N6,N6-trimethyl-L-lysine	C3H10X		C05546		NA
