Gene_Entrez_ID	Gene_Name	Chromosome	Ensembl_Gene_ID	Enzyme_IDs	RefSeq_IDs
5297	PI4KA	22	ENSG00000241973		NM_058004
5298	PI4KB	1	ENSG00000143393		NM_002651
8301	PICALM	11	ENSG00000073921		NM_007166
5286	PIK3C2A	11	ENSG00000011405	2.7.1.154	NM_002645
5290	PIK3CA	3	ENSG00000121879	2.7.1.153	NM_006218
5291	PIK3CB	3	ENSG00000051382	2.7.1.153	NM_001256045
5293	PIK3CD	1	ENSG00000171608	2.7.1.153	NM_005026
5295	PIK3R1	5	ENSG00000145675		NM_181504
5296	PIK3R2	19	ENSG00000105647		NM_005027
5313	PKLR	1	ENSG00000143627	2.7.1.40	NM_000298
5315	PKM	15	ENSG00000067225	2.7.1.40	NM_001206796
5321	PLA2G4A	1	ENSG00000116711	3.1.1.4, 3.1.1.5	NM_024420
7941	PLA2G7	6	ENSG00000146070	3.1.1.4	NM_001168357
5335	PLCG1	20	ENSG00000124181	3.1.4.11	NM_182811
5337	PLD1	3	ENSG00000075651	3.1.4.4	NM_002662
5338	PLD2	17	ENSG00000129219	3.1.4.4	NM_002663
5340	PLG	6	ENSG00000122194		NM_000301
9588	PRDX6	1	ENSG00000117592		NM_004905
5702	PSMC3	11	ENSG00000165916		NM_002804
5728	PTEN	10	ENSG00000171862	3.1.3.16, 3.1.3.48, 3.1.3.67	NM_000314
5743	PTGS2	1	ENSG00000073756	1.14.99.1	NM_000963
2185	PTK2B	8	ENSG00000120899		NM_004103
5971	RELB	19	ENSG00000104856		NM_006509
6240	RRM1	11	ENSG00000167325	1.17.14.1	NM_001033
5265	SERPINA1	14	ENSG00000197249		NM_001002235
6556	SLC11A1	2	ENSG00000018280		NM_000578
121260	SLC15A4	12	ENSG00000139370		NM_145648
6572	SLC18A3	10	ENSG00000187714		NM_003055
123041	SLC24A4	14	ENSG00000140090		NM_153646
1468	SLC25A10	17	ENSG00000183048		NM_001270888
291	SLC25A4	4	ENSG00000151729		NM_001151
11001	SLC27A2	15	ENSG00000140284		NM_003645
81031	SLC2A10	20	ENSG00000197496		NM_030777
154091	SLC2A12	6	ENSG00000146411		NM_145176
114134	SLC2A13	12	ENSG00000151229		NM_052885
6515	SLC2A3	12	ENSG00000059804		NM_006931
6518	SLC2A5	1	ENSG00000142583		NM_003039
11182	SLC2A6	9	ENSG00000160326		NM_017585
29988	SLC2A8	9	ENSG00000136856		NM_014580
6546	SLC8A1	2	ENSG00000183023		NM_021097
6543	SLC8A2	19	ENSG00000118160		NM_015063
6547	SLC8A3	14	ENSG00000100678		NM_001130417
6548	SLC9A1	1	ENSG00000090020		NM_003047
6647	SOD1	21	ENSG00000142168	1.15.1.1	NM_000454
8877	SPHK1	17	ENSG00000176170		NM_182965, NM_021972
6688	SPI1	11	ENSG00000066336		NM_003120
6483	ST3GAL2	16	ENSG00000157350	2.4.99.4	NM_006927
6487	ST3GAL3	1	ENSG00000126091	2.4.99.6	NM_174963
8867	SYNJ1	21	ENSG00000159082	3.1.3.36	NM_003895
8871	SYNJ2	6	ENSG00000078269	3.1.3.36	NM_003898
7037	TFRC	3	ENSG00000072274		NM_001128148
10452	TOMM40	19	ENSG00000130204		NM_001128916
79090	TRAPPC6A	19	ENSG00000007255		NM_024108
7295	TXN	9	ENSG00000136810		NM_001244938
7791	ZYX	7	ENSG00000159840		NM_003461
