from	to
6515	R2497
6515	R3731
50	3421
50	1431
50	10452
50	R240
50	R3858
50	R3907
51382	6515
51382	945
51382	121260
51382	11001
51382	8560
51382	527
51382	5337
51382	10555
51382	6518
51382	10396
51382	948
51382	221
51382	3163
51382	8694
51382	R508
3421	50
3421	10452
3421	R2310
3421	R3795
3421	R3906
23439	482
23439	64240
23439	10347
23439	6548
23439	64241
23439	483
23439	496
23439	477
23439	481
23439	480
23439	478
23439	476
23439	R2688
5971	83594
5971	6487
5971	6483
5971	5702
5296	5335
5296	5297
5296	5290
5296	5286
5296	5291
5296	3636
5296	8871
5296	23607
5296	5298
5296	55361
5296	4952
5296	56623
5296	5728
5296	3633
5296	5293
5296	2185
5296	3635
5296	8867
5296	5295
5296	R2999
5296	R3006
5296	R3014
5296	R3019
2645	3099
2645	3101
2645	2194
2645	5315
2645	5313
2645	80201
2645	5728
2645	353
2645	226
2645	3098
2645	2821
2645	5702
2645	R2226
2645	R2227
2645	R2228
2645	R2229
2645	R3867
2645	R3868
6688	1789
6688	383
6688	3123
345	338
345	335
345	4035
345	348
345	344
345	4036
345	3931
345	7941
345	3990
345	4023
345	1191
345	274
345	341
345	346
345	R4277
83594	5971
83594	5702
83594	R3976
1962	335
1962	847
1962	1374
1962	11001
1962	51
1962	4023
1962	4199
1962	3295
1962	10062
1962	R617
1962	R1146
1962	R1672
1962	R1677
1962	R1685
1962	R1687
1962	R1689
1962	R1694
1962	R1696
1962	R1698
1962	R1700
1962	R1703
1962	R1704
1962	R1705
1962	R1706
1962	R1707
1962	R1708
1962	R1709
1962	R1710
1962	R2212
1962	R2213
1962	R2948
1962	R3108
1962	R3109
1962	R3473
1962	R4019
1962	R4020
1962	R4023
1962	R4049
1962	R4052
1962	R4053
1962	R4054
1962	R4055
1962	R4056
1962	R4057
1962	R4058
1962	R4059
1962	R4060
1962	R4061
1962	R4063
1962	R4064
1962	R4065
1962	R4066
1962	R4067
1962	R4068
1962	R4070
1962	R4071
1962	R4103
1962	R4105
1962	R4471
1962	R4472
1962	R5403
1962	R5404
1962	R5569
1962	R5570
1962	R5571
1962	R5572
1962	R5573
1962	R5574
1962	R5575
1962	R5576
1962	R5578
1962	R5579
1962	R5581
1962	R5582
1962	R5584
1962	R5585
1962	R5602
1962	R5603
1962	R6012
1962	R6013
1962	R6015
1962	R6016
1962	R6018
1962	R6019
1962	R6033
1962	R6034
1962	R6035
1962	R6036
1962	R6037
1962	R6038
1962	R6058
1962	R6059
1962	R6062
1962	R6063
1962	R6064
1962	R6065
1962	R6068
1962	R6069
1962	R6073
1962	R6076
1962	R6077
1962	R6078
1962	R6079
1962	R6138
1962	R6139
1962	R6143
1962	R6144
1962	R6147
1962	R6148
1962	R6193
1962	R6194
1962	R6216
1962	R6219
1962	R6254
1962	R6255
1962	R6256
1962	R6265
1962	R6266
1962	R6267
1962	R6318
1962	R6319
1962	R6321
1962	R6322
1962	R6382
1962	R6383
1962	R6385
1962	R6386
1962	R6391
1962	R6392
1962	R6400
1962	R6401
1962	R6424
1962	R6425
1962	R6428
1962	R6431
1962	R6436
1962	R6437
1962	R6439
1962	R6440
1962	R6485
1962	R6486
1962	R6488
1962	R6489
1962	R6612
1962	R6613
1962	R6615
1962	R6616
1962	R6624
1962	R6625
1962	R6630
1962	R6633
1962	R6634
1962	R6648
1962	R6649
1962	R6650
1962	R6935
1962	R6937
1962	R6943
1962	R6945
1962	R6950
1962	R6951
1962	R6952
1962	R6955
1962	R6956
1962	R6959
1962	R6961
1962	R6963
1962	R6965
1962	R6967
1962	R6971
1962	R6974
1962	R6977
1962	R6980
1962	R6982
1962	R6984
1962	R6986
1962	R6991
1962	R6995
1962	R7001
1962	R7003
1962	R7009
1962	R7014
1962	R7016
1962	R7021
1962	R7028
1962	R7030
1962	R7032
1962	R7036
1962	R7039
1962	R7041
1962	R7043
1962	R7047
1962	R7054
1962	R7057
1962	R7058
1962	R7067
1962	R7069
1962	R7071
1962	R7072
1962	R7075
1962	R7077
1962	R7078
1962	R7092
6556	6515
6556	84418
6556	945
6556	154091
6556	114134
6556	2548
6556	527
6556	5337
6556	81031
6556	11182
6556	29988
6556	10396
6556	8972
6556	R4996
338	2519
338	345
338	335
338	4035
338	348
338	344
338	4036
338	3931
338	1356
338	11320
338	5286
338	7941
338	213
338	3990
338	2243
338	5340
338	4023
338	1191
338	274
338	5034
338	375056
338	8871
338	7037
338	4952
338	5728
338	29988
338	6572
338	19
338	8301
338	948
338	8867
338	5265
338	341
338	346
338	10062
338	R4272
4953	10658
4953	5702
4953	R2841
335	2519
335	345
335	1962
335	338
335	4035
335	348
335	344
335	10347
335	4036
335	3931
335	1356
335	11320
335	1374
335	7941
335	51
335	213
335	3990
335	2243
335	4023
335	1191
335	274
335	5034
335	375056
335	5743
335	4199
335	19
335	948
335	5265
335	3295
335	341
335	346
335	10062
335	R4286
6543	6547
6543	6546
6543	123041
6543	R629
847	1962
847	11001
847	79631
847	6647
847	51
847	5315
847	5313
847	9588
847	226
847	2821
847	3295
847	R628
4035	345
4035	338
4035	335
4035	348
4035	344
4035	4036
4035	4023
4035	19
4035	R2976
5335	5296
5335	5297
5335	5338
5335	5290
5335	5286
5335	2206
5335	5291
5335	8877
5335	27124
5335	3117
5335	8871
5335	2571
5335	3123
5335	5321
5335	5298
5335	55361
5335	4952
5335	56623
5335	5728
5335	3633
5335	3119
5335	3127
5335	5293
5335	3122
5335	3635
5335	8867
5335	5295
5335	R3004
5335	R3011
5335	R3026
482	23439
482	64240
482	10347
482	6548
482	64241
482	483
482	496
482	477
482	481
482	480
482	478
482	476
482	R2688
348	2519
348	345
348	338
348	335
348	4035
348	344
348	4036
348	3931
348	1356
348	11320
348	7941
348	213
348	3990
348	1581
348	2243
348	4023
348	1191
348	274
348	5034
348	375056
348	5743
348	55361
348	2517
348	19
348	10452
348	5265
348	341
348	346
348	R4285
344	345
344	338
344	335
344	4035
344	348
344	4036
344	3931
344	7941
344	3990
344	4023
344	1191
344	274
344	341
344	346
344	R4276
5297	5296
5297	5335
5297	5286
5297	3636
5297	27124
5297	8871
5297	5298
5297	55361
5297	4952
5297	56623
5297	5728
5297	3633
5297	2185
5297	3635
5297	8867
5297	5295
5297	R2996
5297	R3016
5297	R3022
5297	R6042
5297	R6043
5297	R6044
64240	23439
64240	482
64240	10347
64240	6548
64240	64241
64240	483
64240	496
64240	477
64240	481
64240	480
64240	478
64240	476
64240	R675
64240	R4170
84418	6515
84418	6556
84418	945
84418	2548
84418	527
84418	5337
84418	8972
58508	10062
58508	R2456
58508	R2457
58508	R2458
945	6515
945	51382
945	6556
945	84418
945	121260
945	11001
945	2548
945	8560
945	527
945	5337
945	10555
945	6518
945	10396
945	948
945	8972
945	221
945	3163
945	8694
57787	5142
57787	5048
6487	5971
6487	R3238
6487	R3434
5338	5335
5338	3931
5338	2206
5338	8877
5338	5337
5338	5321
5338	10555
5338	8694
5338	R2918
5338	R6349
5338	R6361
10347	23439
10347	335
10347	482
10347	64240
10347	6548
10347	64241
10347	483
10347	496
10347	477
10347	481
10347	480
10347	478
10347	476
4036	345
4036	338
4036	335
4036	4035
4036	348
4036	344
4036	5286
4036	213
4036	1191
4036	274
4036	8871
4036	7037
4036	4952
4036	29988
4036	6572
4036	8301
4036	8867
4036	R32
5290	5296
5290	5335
5290	5286
5290	2206
5290	5291
5290	3636
5290	7791
5290	8871
5290	23607
5290	3123
5290	4952
5290	56623
5290	5728
5290	3633
5290	5293
5290	3122
5290	3635
5290	8867
5290	5295
5290	R2999
5290	R3006
5290	R3014
5290	R3019
5290	R6045
6548	23439
6548	482
6548	64240
6548	10347
6548	64241
6548	483
6548	496
6548	477
6548	481
6548	480
6548	19
6548	478
6548	476
6548	R2692
3931	345
3931	338
3931	335
3931	348
3931	344
3931	5338
3931	7941
3931	3990
3931	4023
3931	1191
3931	274
3931	5337
3931	10555
3931	341
3931	346
3931	R2376
1356	2519
1356	338
1356	335
1356	348
1356	11320
1356	213
1356	2243
1356	5034
1356	375056
1356	5265
1356	R4187
1356	R4188
11320	2519
11320	338
11320	335
11320	348
11320	1356
11320	213
11320	2243
11320	5034
11320	375056
11320	5265
11320	R2467
1374	1962
1374	335
1374	51
1374	4023
1374	4199
1374	126129
1374	3295
1374	10062
1374	R283
1374	R420
1374	R594
1374	R595
1374	R597
1374	R598
1374	R603
1374	R606
1374	R609
1374	R613
1374	R697
1374	R866
1374	R943
1374	R1152
1374	R1156
1374	R2231
1374	R2259
1374	R2401
1374	R2417
1374	R2421
1374	R2425
1374	R2429
1374	R2767
1374	R3121
1374	R3223
1374	R3227
1374	R3231
1374	R3456
1374	R3499
1374	R3504
1374	R3509
1374	R3558
1374	R3589
1374	R3683
1374	R3908
1374	R3909
1374	R3910
1374	R3911
1374	R3912
1374	R3913
1374	R3914
1374	R3916
1374	R3917
1374	R3918
1374	R3919
1374	R3921
1374	R6807
1374	R6809
1374	R6811
1374	R6814
1374	R6816
1374	R6817
1374	R6818
1374	R6823
1374	R6824
1374	R6826
1374	R6827
1374	R6830
1374	R6831
1374	R6833
1374	R6834
1374	R6836
1374	R6838
1374	R6840
1374	R6842
1374	R6843
1374	R6844
1374	R6846
1374	R6848
1374	R6853
1374	R6857
1374	R6858
1374	R6860
1374	R6865
1374	R6867
1374	R6869
1374	R6872
1374	R6969
1374	R7059
1374	R7061
1374	R7063
1374	R7065
1374	R7116
1374	R7122
5286	5296
5286	338
5286	5335
5286	5297
5286	4036
5286	5290
5286	5291
5286	3636
5286	274
5286	8871
5286	7037
5286	5298
5286	55361
5286	4952
5286	56623
5286	5728
5286	3633
5286	29988
5286	6572
5286	5293
5286	8301
5286	3635
5286	8867
5286	5295
5286	R3006
5286	R3014
5286	R3019
5286	R6045
5286	R6046
5286	R6047
5286	R6048
121260	6515
121260	51382
121260	945
121260	11001
121260	8560
121260	5337
121260	10555
121260	6518
121260	10396
121260	948
121260	221
121260	3163
121260	8694
121260	R7169
121260	R7198
11001	6515
11001	51382
11001	1962
11001	847
11001	945
11001	121260
11001	51
11001	8560
11001	5337
11001	10555
11001	6518
11001	10396
11001	948
11001	3295
11001	221
11001	3163
11001	8694
11001	R1159
11001	R1632
11001	R1638
11001	R1723
11001	R1724
11001	R1725
11001	R1726
11001	R2222
11001	R2404
11001	R3588
11001	R3701
11001	R3702
11001	R3703
11001	R3704
11001	R3857
11001	R4340
11001	R4341
11001	R4342
11001	R4343
11001	R4344
11001	R4345
11001	R4346
11001	R4347
11001	R4348
11001	R4475
11001	R5560
11001	R6022
11001	R6132
11001	R6134
11001	R6137
11001	R6169
11001	R6188
11001	R6199
11001	R6221
11001	R6378
11001	R6379
11001	R6404
11001	R6405
11001	R6483
11001	R6484
11001	R6610
11001	R6611
11001	R6629
11001	R6875
11001	R6886
11001	R6985
11001	R7012
11001	R7119
79631	847
79631	9588
79631	353
79631	2821
79631	1468
6647	847
6647	10452
6647	R3413
6647	R3416
6647	R3417
64241	23439
64241	482
64241	64240
64241	10347
64241	6548
64241	483
64241	496
64241	477
64241	481
64241	480
64241	478
64241	476
64241	R675
64241	R4170
7941	345
7941	338
7941	335
7941	348
7941	344
7941	3931
7941	3990
7941	4023
7941	1191
7941	274
7941	5321
7941	5048
7941	341
7941	346
7941	R2906
154091	6556
154091	274
154091	5728
154091	R2052
2206	5335
2206	5338
2206	5290
2206	8877
2206	2571
2206	5321
2206	3635
2206	5295
114134	6556
114134	274
114134	5728
114134	8694
114134	R2339
291	10452
291	R512
483	23439
483	482
483	64240
483	10347
483	6548
483	64241
483	496
483	477
483	481
483	480
483	478
483	476
483	R2688
5291	5296
5291	5335
5291	5290
5291	5286
5291	3636
5291	8871
5291	23607
5291	4952
5291	56623
5291	5728
5291	3633
5291	5293
5291	2185
5291	3635
5291	8867
5291	5295
5291	R2999
5291	R3006
5291	R3014
5291	R3019
5291	R6045
3099	2645
3099	3101
3099	2548
3099	5315
3099	527
3099	5313
3099	80201
3099	5728
3099	5207
3099	226
3099	3098
3099	2821
3099	8972
3099	5702
3099	R2226
3099	R2227
3099	R2228
3099	R2229
3099	R3867
3099	R3868
3099	R3869
3099	R3870
3099	R3871
3099	R3872
3099	R3873
3099	R3874
3101	2645
3101	3099
3101	2548
3101	5315
3101	5313
3101	80201
3101	5207
3101	226
3101	3098
3101	2821
3101	8972
3101	5702
3101	R2226
3101	R2227
3101	R2228
3101	R2229
3101	R3867
3101	R3868
3101	R3869
3101	R3870
3101	R3871
3101	R3872
3101	R3873
3101	R3874
51	1962
51	335
51	847
51	1374
51	11001
51	4023
51	4199
51	3295
51	10062
51	R236
51	R1672
51	R1677
51	R1685
51	R1687
51	R1689
51	R1694
51	R1696
51	R1698
51	R1700
51	R1703
51	R1704
51	R1705
51	R1706
51	R1707
51	R1708
51	R1709
51	R1710
51	R3856
51	R4451
51	R4452
51	R4453
51	R4454
51	R4455
51	R4456
51	R4457
51	R4458
51	R4459
51	R5561
51	R5562
51	R5563
51	R5564
51	R5565
51	R5566
51	R5567
51	R5568
51	R6023
51	R6024
51	R6025
51	R6026
51	R6027
51	R6028
51	R6056
51	R6057
51	R6067
51	R6071
51	R6072
51	R6141
51	R6142
51	R6145
51	R6197
51	R6217
51	R6316
51	R6317
51	R6374
51	R6375
51	R6393
51	R6394
51	R6423
51	R6427
51	R6433
51	R6435
51	R6479
51	R6480
51	R6606
51	R6607
51	R6628
51	R6631
51	R6644
51	R6645
51	R6646
51	R6932
51	R6933
51	R6941
51	R6950
51	R6951
51	R6965
51	R6967
51	R6974
51	R6977
51	R6980
51	R6982
51	R6984
51	R6991
51	R6998
51	R7006
51	R7014
51	R7016
51	R7021
51	R7030
51	R7036
51	R7038
51	R7041
51	R7045
51	R7054
51	R7057
51	R7058
51	R7071
51	R7072
51	R7075
51	R7077
51	R7078
113451	5702
113451	R427
213	2519
213	338
213	335
213	348
213	4036
213	1356
213	11320
213	2243
213	5340
213	1191
213	5034
213	375056
213	5743
213	7295
213	226
213	5265
213	R4269
3636	5296
3636	5297
3636	5290
3636	5286
3636	5291
3636	274
3636	8871
3636	23607
3636	5298
3636	11182
3636	5293
3636	3635
3636	8867
3636	5295
3636	R2547
3636	R2558
3636	R2989
3990	345
3990	338
3990	335
3990	348
3990	344
3990	3931
3990	7941
3990	4023
3990	1191
3990	274
3990	341
3990	346
3990	8694
3990	R2438
3990	R2440
3990	R2442
3990	R2444
6240	5315
6240	5313
6240	5728
6240	7295
6240	10658
6240	R3208
6240	R3209
6240	R3210
6240	R3211
6240	R3929
6240	R3930
6240	R3931
6240	R3932
6240	R4442
6240	R4443
1581	348
1581	R913
1581	R2450
1581	R2891
1581	R5767
2194	2645
2194	5315
2194	10062
2194	R237
2194	R1611
2194	R1712
2194	R1713
2194	R1714
2194	R1715
2194	R1716
2194	R1717
2194	R2349
2194	R2511
2194	R4028
2194	R4031
2194	R4032
2194	R4036
2194	R4037
2194	R4038
2194	R4039
2194	R4040
2194	R4041
2194	R4042
2194	R4044
2194	R4045
2194	R4050
2194	R4051
2194	R4087
2194	R4088
2194	R4089
2194	R4090
2194	R4091
2194	R4092
2194	R4093
2194	R4094
2194	R4095
2194	R4096
2194	R4097
2194	R4098
2194	R4099
2194	R4100
2194	R4361
2194	R4362
2194	R4363
2548	6515
2548	6556
2548	84418
2548	945
2548	3099
2548	3101
2548	527
2548	5337
2548	80201
2548	10396
2548	3098
2548	8972
2548	R2573
2243	2519
2243	338
2243	335
2243	348
2243	1356
2243	11320
2243	213
2243	2147
2243	5340
2243	1191
2243	5034
2243	375056
2243	226
2243	5265
2243	R4278
2147	2243
2147	5340
2147	7791
2147	R4281
5340	338
5340	213
5340	2243
5340	2147
5340	1191
5340	226
5340	5265
5340	R4280
4023	345
4023	1962
4023	338
4023	335
4023	4035
4023	348
4023	344
4023	3931
4023	1374
4023	7941
4023	51
4023	3990
4023	1191
4023	274
4023	4199
4023	3295
4023	341
4023	346
4023	10062
4023	R2438
4023	R2439
4023	R2444
8877	5335
8877	5338
8877	2206
8877	8560
8877	5337
8877	5743
8877	R3382
8877	R3405
1191	345
1191	338
1191	335
1191	348
1191	344
1191	4036
1191	3931
1191	7941
1191	213
1191	3990
1191	2243
1191	5340
1191	4023
1191	274
1191	226
1191	5265
1191	341
1191	346
8560	6515
8560	51382
8560	945
8560	121260
8560	11001
8560	8877
8560	5337
8560	10555
8560	6518
8560	10396
8560	948
8560	221
8560	3163
8560	8694
8560	R917
8560	R918
274	345
274	338
274	335
274	348
274	344
274	4036
274	3931
274	5286
274	7941
274	154091
274	114134
274	3636
274	3990
274	4023
274	1191
274	27124
274	8871
274	81031
274	7037
274	4952
274	56623
274	11182
274	3633
274	29988
274	6572
274	8301
274	3635
274	8867
274	341
274	346
1537	10452
1537	R784
5315	2645
5315	847
5315	3099
5315	3101
5315	6240
5315	2194
5315	5313
5315	9588
5315	80201
5315	9870
5315	4199
5315	5728
5315	226
5315	3098
5315	2821
5315	R3153
5315	R6040
7791	5290
7791	2147
7791	5295
5034	2519
5034	338
5034	335
5034	348
5034	1356
5034	11320
5034	213
5034	2243
5034	375056
5034	5265
5034	R3089
1789	6688
1789	R997
1789	R998
527	6515
527	51382
527	6556
527	84418
527	945
527	3099
527	2548
527	5337
527	10396
527	8972
527	R508
5142	57787
5142	R2929
27124	5335
27124	5297
27124	274
27124	8871
27124	5298
27124	8867
27124	R2547
27124	R2558
27124	R2989
496	23439
496	482
496	64240
496	10347
496	6548
496	64241
496	483
496	477
496	481
496	480
496	478
496	476
496	R2245
3117	5335
3117	3123
3117	5476
3117	3119
3117	3127
3117	3122
5313	2645
5313	847
5313	3099
5313	3101
5313	6240
5313	5315
5313	9588
5313	80201
5313	9870
5313	4199
5313	226
5313	3098
5313	2821
5313	R3153
5313	R3805
5313	R3813
5313	R3818
5313	R3848
5313	R3902
375056	2519
375056	338
375056	335
375056	348
375056	1356
375056	11320
375056	213
375056	2243
375056	5034
375056	5265
375056	R2961
9588	2519
9588	847
9588	79631
9588	5315
9588	5313
9588	383
9588	5476
9588	2517
9588	353
9588	R3078
9588	R5445
9588	R5447
9588	R5883
9588	R5885
9588	R5887
9588	R5889
9588	R6005
9588	R6149
9588	R6150
1431	50
1431	4199
1431	10452
1431	R758
5337	6515
5337	51382
5337	6556
5337	84418
5337	945
5337	5338
5337	3931
5337	121260
5337	11001
5337	2548
5337	8877
5337	8560
5337	527
5337	5321
5337	10555
5337	6518
5337	10396
5337	948
5337	8972
5337	221
5337	3163
5337	8694
5337	R2918
5337	R2919
5337	R2920
5337	R2921
5337	R6350
5337	R6351
5337	R6362
5337	R6363
1809	23607
1809	R929
80201	2645
80201	3099
80201	3101
80201	2548
80201	5315
80201	5313
80201	5207
80201	226
80201	3098
80201	2821
80201	8972
80201	5702
80201	R2226
80201	R2227
80201	R2228
80201	R2229
50488	7295
8871	5296
8871	338
8871	5335
8871	5297
8871	4036
8871	5290
8871	5286
8871	5291
8871	3636
8871	274
8871	27124
8871	23607
8871	7037
8871	5298
8871	55361
8871	4952
8871	56623
8871	3633
8871	29988
8871	6572
8871	5293
8871	8301
8871	3635
8871	8867
8871	5295
8871	R2989
8871	R3002
9870	5315
9870	5313
9870	51529
383	2519
383	6688
383	9588
383	5743
383	5476
383	2517
383	R429
51529	9870
51529	5702
51529	R5434
2571	5335
2571	2206
2571	R82
2571	R497
2571	R2077
2571	R2381
81031	6556
81031	274
81031	5728
81031	R1937
81031	R2052
23607	5296
23607	5290
23607	5291
23607	3636
23607	1809
23607	8871
23607	3635
23607	8867
23607	5295
3123	6688
3123	5335
3123	5290
3123	3117
3123	5476
3123	3119
3123	3127
3123	3122
7037	338
7037	4036
7037	5286
7037	274
7037	8871
7037	4952
7037	29988
7037	6572
7037	8301
7037	8867
7037	R4282
477	23439
477	482
477	64240
477	10347
477	6548
477	64241
477	483
477	496
477	481
477	480
477	478
477	476
477	R2688
5321	5335
5321	5338
5321	7941
5321	2206
5321	5337
5321	5743
5321	10555
5321	5048
5321	R2435
5321	R3035
5743	335
5743	348
5743	213
5743	8877
5743	383
5743	5321
5743	R2970
5743	R2971
5743	R5753
5743	R6520
5743	R6521
5743	R6623
481	23439
481	482
481	64240
481	10347
481	6548
481	64241
481	483
481	496
481	477
481	480
481	478
481	476
481	R2688
480	23439
480	482
480	64240
480	10347
480	6548
480	64241
480	483
480	496
480	477
480	481
480	478
480	476
480	R2688
5298	5296
5298	5335
5298	5297
5298	5286
5298	3636
5298	27124
5298	8871
5298	55361
5298	4952
5298	56623
5298	5728
5298	3633
5298	2185
5298	3635
5298	8867
5298	5295
5298	R2996
5298	R3016
5298	R3022
5298	R6042
5298	R6043
5298	R6044
4199	1962
4199	335
4199	1374
4199	51
4199	4023
4199	5315
4199	5313
4199	1431
4199	3295
4199	10062
4199	R2518
55361	5296
55361	5335
55361	348
55361	5297
55361	5286
55361	8871
55361	5298
55361	4952
55361	56623
55361	3633
55361	8867
55361	5295
55361	221
55361	R2996
55361	R3016
55361	R3022
4952	5296
4952	338
4952	5335
4952	5297
4952	4036
4952	5290
4952	5286
4952	5291
4952	274
4952	8871
4952	7037
4952	5298
4952	55361
4952	56623
4952	3633
4952	29988
4952	6572
4952	5293
4952	8301
4952	8867
4952	5295
4952	R3002
10555	6515
10555	51382
10555	945
10555	5338
10555	3931
10555	121260
10555	11001
10555	8560
10555	5337
10555	5321
10555	6518
10555	10396
10555	948
10555	221
10555	3163
10555	8694
10555	R320
56623	5296
56623	5335
56623	5297
56623	5290
56623	5286
56623	5291
56623	274
56623	8871
56623	5298
56623	55361
56623	4952
56623	3633
56623	5293
56623	8867
56623	5295
56623	R2547
56623	R2558
56623	R2989
56623	R3002
11182	6556
11182	3636
11182	274
11182	5728
11182	R2052
5728	5296
5728	2645
5728	338
5728	5335
5728	5297
5728	5290
5728	5286
5728	154091
5728	114134
5728	5291
5728	3099
5728	6240
5728	5315
5728	81031
5728	5298
5728	11182
5728	29988
5728	7295
5728	5293
5728	2185
5728	5295
5728	5702
5728	R2987
5728	R2988
5476	2519
5476	3117
5476	9588
5476	383
5476	3123
5476	2517
5476	3119
5476	3127
5476	3122
5476	R1892
5476	R1893
5476	R1894
5476	R1895
5476	R1896
5476	R1897
5476	R1898
5476	R1899
5476	R1900
5476	R1901
5476	R1902
5476	R1903
5476	R1904
5476	R1905
5476	R1906
5476	R1907
5476	R1908
5476	R1909
5476	R1910
5476	R2016
5476	R2368
5476	R3296
5476	R3309
5476	R3312
5476	R3316
5476	R3317
5476	R3318
5476	R3319
5476	R3320
5476	R3321
5476	R3374
5476	R3375
5476	R3376
5476	R3377
5476	R5428
3633	5296
3633	5335
3633	5297
3633	5290
3633	5286
3633	5291
3633	274
3633	8871
3633	5298
3633	55361
3633	4952
3633	56623
3633	5293
3633	8867
3633	5295
3633	R2547
3633	R2558
3633	R2989
3633	R3002
29988	6556
29988	338
29988	4036
29988	5286
29988	274
29988	8871
29988	7037
29988	4952
29988	5728
29988	6572
29988	8301
29988	8867
29988	R1769
29988	R1937
29988	R2052
6572	338
6572	4036
6572	5286
6572	274
6572	8871
6572	7037
6572	4952
6572	29988
6572	8301
6572	8867
6572	R213
2517	2519
2517	348
2517	9588
2517	383
2517	5476
2517	R1788
2517	R1790
7295	213
7295	6240
7295	50488
7295	5728
7295	R4352
19	338
19	335
19	4035
19	348
19	6548
19	10062
19	R675
19	R679
19	R2928
19	R4488
19	R4489
19	R4490
19	R4491
19	R4492
19	R4493
19	R4494
19	R4495
19	R4496
19	R4497
19	R4498
19	R4499
19	R4500
19	R4502
19	R7255
3119	5335
3119	3117
3119	3123
3119	5476
3119	3127
3119	3122
3127	5335
3127	3117
3127	3123
3127	5476
3127	3119
3127	3122
5207	3099
5207	3101
5207	80201
5207	3098
5207	10062
5207	R1732
5207	R2954
5293	5296
5293	5335
5293	5290
5293	5286
5293	5291
5293	3636
5293	8871
5293	4952
5293	56623
5293	5728
5293	3633
5293	2185
5293	3635
5293	8867
5293	5295
5293	R2999
5293	R3006
5293	R3014
5293	R3019
6518	6515
6518	51382
6518	945
6518	121260
6518	11001
6518	8560
6518	5337
6518	10555
6518	10396
6518	948
6518	8972
6518	221
6518	3163
6518	8694
6518	R1769
353	2645
353	79631
353	9588
353	2821
353	R280
353	R3787
6547	6543
6547	6546
6547	123041
6547	R629
10396	6515
10396	51382
10396	6556
10396	945
10396	121260
10396	11001
10396	2548
10396	8560
10396	527
10396	5337
10396	10555
10396	6518
10396	948
10396	221
10396	3163
10396	8694
10396	R2942
10396	R2943
10396	R3115
10396	R3116
126129	1374
126129	2185
126129	R283
126129	R420
126129	R594
126129	R597
126129	R598
